farmer_id,crop_class_name,association,camp_name,district_name,region_name,number_seasons,agroecological_zone,initial_down_payment_value,package_cash_repayment,package_in_kind_repayment,package_hectares,fertilizer,fungicide,gypsum,inoculant,insecticide,lime,seed_guard,grade_a_price,grade_b_price,grade_c_price,total_weight,grade_a_weight,grade_b_weight,grade_c_weight,total_net_weight,grade_a_cash_value,grade_b_cash_value,grade_c_cash_value
18516,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,336,336,0,0,286,7150,0,0
18517,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,500,500,0,0,450,11250,0,0
18518,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,240,50,190,0,190,0,4180,0
18519,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,1490.0,0,0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,150,0,150,0,150,0,3300,0
18520,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,290,0,290,0,240,0,5280,0
18521,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,100,0,0,100,50,0,0,1100
18522,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,250,250,0,0,200,5000,0,0
18523,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,383,0,383,0,333,0,7326,0
18524,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,50,0,50,0,0,0,0,0
18525,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,123,0,123,0,73,0,1606,0
18526,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,50,0,50,0,0,0,0,0
18527,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,1300.0,0,190,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,25,22,22,600,0,350,250,410,0,3520,5500
18529,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,1950.0,0,150,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,25,22,22,694,0,694,0,544,0,11968,0
18530,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,1490.0,0,0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,200,200,0,0,200,5000,0,0
18531,Sugar bean,GNA Farmer,Luwingu A,Luwingu,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,25,22,22,650,450,200,0,600,10000,4400,0
